ExperimentID,UserID,VideoID,Activity,StartResolution,EndResolution,Gender,Personality,SI,TI,Cluster,Glasses
20,110,13,Sitting,360,720,Female,Neuroticism,138.691,8.303,10111,0
20,110,14,Sitting,360,720,Female,Neuroticism,136.498,28.59,10111,0
20,110,21,Walking,360,1080,Female,Neuroticism,14.343,3.491,10111,0
20,110,22,Walking,360,720,Female,Neuroticism,40.179,38.442,10111,0
20,110,23,Walking,360,480,Female,Neuroticism,117.562,6.145,10111,0
20,110,24,Walking,360,480,Female,Neuroticism,118.669,26.814,10111,0
20,110,31,Running,360,720,Female,Neuroticism,41.164,1.424,10111,0
20,110,32,Running,360,480,Female,Neuroticism,40.308,31.631,10111,0
20,110,33,Running,360,480,Female,Neuroticism,123.356,8.147,10111,0
20,110,34,Running,360,480,Female,Neuroticism,138.758,37.133,10111,0
21,130,11,Sitting,360,1080,Male,Neuroticism,8.778,3.687,10111,0
21,130,12,Sitting,360,1080,Male,Neuroticism,38.861,36.951,10111,0
21,130,13,Sitting,360,720,Male,Neuroticism,138.691,8.303,10111,0
21,130,14,Sitting,360,720,Male,Neuroticism,136.498,28.59,10111,0
21,130,21,Walking,360,720,Male,Neuroticism,14.343,3.491,10111,0
21,130,22,Walking,360,480,Male,Neuroticism,40.179,38.442,10111,0
21,130,23,Walking,360,480,Male,Neuroticism,117.562,6.145,10111,0
21,130,24,Walking,360,720,Male,Neuroticism,118.669,26.814,10111,0
21,130,31,Running,360,720,Male,Neuroticism,41.164,1.424,10111,0
21,130,32,Running,360,720,Male,Neuroticism,40.308,31.631,10111,0
21,130,33,Running,360,480,Male,Neuroticism,123.356,8.147,10111,0
21,130,34,Running,360,720,Male,Neuroticism,138.758,37.133,10111,0
22,140,11,Sitting,360,1080,Female,Neuroticism,8.778,3.687,10111,0
22,140,12,Sitting,360,1080,Female,Neuroticism,38.861,36.951,10111,0
22,140,13,Sitting,360,480,Female,Neuroticism,138.691,8.303,10111,0
22,140,14,Sitting,360,720,Female,Neuroticism,136.498,28.59,10111,0
22,140,21,Walking,360,720,Female,Neuroticism,14.343,3.491,10111,0
22,140,22,Walking,360,1080,Female,Neuroticism,40.179,38.442,10111,0
22,140,23,Walking,360,480,Female,Neuroticism,117.562,6.145,10111,0
22,140,24,Walking,360,720,Female,Neuroticism,118.669,26.814,10111,0
22,140,31,Running,360,720,Female,Neuroticism,41.164,1.424,10111,0
22,140,32,Running,360,480,Female,Neuroticism,40.308,31.631,10111,0
22,140,33,Running,360,480,Female,Neuroticism,123.356,8.147,10111,0
