#TITLE                                                                                                          #AVG_SI     #STD_SI    #AVG_TI   #STD_TI     
RedHotChiliPeppersMonarchyofRosesOfficialMusicVideo1080p.mp4                                                    100.267     46.832     22.864    36.93
HowtomakeProfessionalIntrosforYouTubeEASYMETHOD1080p.mp4                                                        102.139     40.862     6.447     12.49
ITSMUFFINTIME1080p.mp4                                                                                          110.581     34.753     17.262    23.584
IntrovertsvsExtroverts1080p.mp4                                                                                 111.645     38.483     8.368     18.289
DrawingFractalsinUnder5Minutes1080p.mp4                                                                         112.769     42.158     12.033    13.43
ListentoYourIntuition1080p.mp4                                                                                  114.014     31.174     17.334    17.905
13SortsClassic1080p.mp4                                                                                         116.296     30.629     16.285    12.07
EVERYBODYDOTHEFLOPasdfmoviesong1080p.mp4                                                                        118.447     26.479     38.515    30.029
MAN20201080p.mp4                                                                                                120.505     27.807     30.116    21.306
WalkAwayFromMoneyDaveChappelle1080p.mp4                                                                         149.269     55.022     15.736    22.506
SocialMediaisDestroyingUsJoeRoganElonMusk1080p.mp4                                                              151.464     34.859     19.429    23.045
theNEEDforAcceptanceWillMakeYouINVISIBLEJimCarrey1080p.mp4                                                      153.76      38.456     22.91     25.9
AREYOUANALPHASimonSinekWhyLeadersEatLast1080p.mp4                                                               160.597     46.724     22.428    23.81
YourRightsAreAnILLUSIONGeorgeCarlin1080p.mp4                                                                    162.427     35.302     23.878    26.092
HowtoHaveaLifeWorthLivingJordanPeterson1080p.mp4                                                                171.645     52.049     16.92     21.966
YouHaveNOChoiceGeorgeCarlin1080p.mp4                                                                            172.125     42.391     23.647    27.697
FearofGERMSGeorgeCarlin1080p.mp4                                                                                177.58      46.61      18.409    23.067
ObscureSortingAlgorithms1080p.mp4                                                                               236.07      98.075     15.799    10.968
VisualizationandComparisonofSortingAlgorithms1080p.mp4                                                          266.577     62.232     6.89      7.454
